IDAgenda,Date,Hour,Duration,ClientName
1,7/30/2017,74,80.33,Beverie
2,9/6/2016,15,21.53,Engelbert
3,12/17/2016,44,39.66,Leonhard
4,9/19/2016,46,77.34,Ermanno
5,11/16/2016,50,79.48,Heidie
6,12/1/2016,48,66.92,Alisha
7,1/24/2017,37,46.23,Tabbitha
8,5/26/2017,83,18.03,Emily
9,2/12/2017,28,64.19,Willamina
10,12/2/2016,2,40.43,Shelley
11,9/25/2016,45,35.86,Andrea
12,2/7/2017,79,7.16,Ketty
13,3/6/2017,80,86.61,Rayna
14,7/17/2017,6,29.4,Kelley
15,7/25/2017,26,9.26,Boothe
16,11/5/2016,97,15.17,Saw
17,8/7/2017,27,71.78,Vernen
18,2/26/2017,83,96.23,Pennie
19,1/2/2017,94,41.98,Cinderella
20,4/6/2017,68,33.28,Celle
21,3/14/2017,38,38.93,Abra
22,2/9/2017,69,31.44,Aubry
23,4/20/2017,20,24.97,Amye
24,1/1/2017,100,35.1,Orsa
25,1/29/2017,15,66.49,Kiersten
26,7/3/2017,22,85.43,Simon
27,12/15/2016,91,29.74,Saba
28,1/24/2017,21,26.2,Alvera
29,11/25/2016,12,47.81,Riannon
30,4/10/2017,83,74.83,Eve
31,5/13/2017,63,58.45,Gilli
32,7/15/2017,97,34.77,Tobe
33,11/21/2016,27,2.83,Rikki
34,8/21/2017,14,12.62,Findley
35,8/22/2017,43,85.69,Coop
36,9/6/2016,43,38.35,Carmela
37,10/28/2016,56,43.42,Betti
38,10/17/2016,35,43.86,Kat
39,9/25/2016,87,21.49,Roderick
40,11/28/2016,77,80.95,Gal
41,4/21/2017,67,74.98,Uriah
42,3/20/2017,83,40.9,Dara
43,9/23/2016,97,45.92,Shay
44,8/1/2017,26,81.56,Karine
45,6/17/2017,97,79.39,Alica
46,9/29/2016,26,77.0,Margareta
47,11/24/2016,71,23.6,Jud
48,12/2/2016,88,67.15,Emmye
49,12/24/2016,31,73.55,Quinton
50,10/7/2016,77,41.72,Talbert
51,3/7/2017,13,5.86,Bernard
52,8/14/2017,66,21.16,Adrea
53,4/27/2017,30,29.89,Virginie
54,11/24/2016,37,70.62,Joleen
55,2/17/2017,69,14.96,Omero
56,12/9/2016,66,48.33,Vincenz
57,2/17/2017,24,37.01,Joellen
58,5/12/2017,73,60.03,Gustavus
59,4/27/2017,96,96.63,Riccardo
60,4/10/2017,56,69.99,Harriet
61,9/22/2016,99,80.23,Deane
62,10/27/2016,9,28.2,Cullin
63,3/21/2017,10,59.04,Candice
64,9/4/2017,92,83.77,Jenny
65,3/25/2017,71,61.69,Natalee
66,12/19/2016,18,4.1,Sanderson
67,6/28/2017,12,74.03,Gery
68,5/1/2017,55,83.79,Glennie
69,9/2/2017,34,35.85,Calla
70,3/31/2017,58,37.82,Esther
71,3/6/2017,13,47.24,Bradly
72,10/30/2016,61,14.31,Kaitlyn
73,11/22/2016,16,67.06,Moses
74,11/27/2016,86,9.03,Lynsey
75,1/20/2017,12,74.61,Frants
76,7/2/2017,56,73.16,Dasi
77,5/21/2017,18,29.61,Darwin
78,9/18/2016,64,9.85,Candida
79,8/22/2017,78,6.4,Moritz
80,8/29/2017,86,73.66,Avictor
81,5/31/2017,84,86.3,Minette
82,9/1/2017,21,43.93,Libby
83,4/16/2017,30,98.79,Eleanore
84,10/30/2016,38,19.02,Emlyn
85,11/22/2016,50,18.79,Bettina
86,2/8/2017,64,4.33,Jolie
87,1/16/2017,52,28.02,Dominick
88,5/14/2017,38,48.82,Devlen
89,1/2/2017,46,73.93,Pattie
90,8/19/2017,94,23.9,Vasily
91,3/3/2017,21,44.09,Karena
92,11/4/2016,66,46.55,Luce
93,3/7/2017,57,89.33,Karoline
94,3/31/2017,91,52.22,Flo
95,11/8/2016,80,17.23,Maureen
96,1/10/2017,16,2.24,Faber
97,2/12/2017,74,60.94,Kendra
98,3/12/2017,10,32.73,Karita
99,10/24/2016,52,87.82,Bette
100,2/12/2017,71,44.98,Kathi
101,9/23/2016,2,65.6,Shannan
102,7/25/2017,49,26.67,Bartholomeus
103,6/25/2017,3,12.27,Dore
104,1/29/2017,42,68.49,Cicily
105,10/29/2016,87,86.34,Darnell
106,12/14/2016,22,94.01,Robby
107,10/16/2016,44,56.29,Sanford
108,9/25/2016,12,63.73,Patrizio
109,1/9/2017,5,46.52,Sean
110,5/14/2017,72,23.28,Sascha
111,1/6/2017,23,98.19,Monte
112,3/14/2017,66,34.52,Saba
113,10/22/2016,63,83.02,Ruprecht
114,12/26/2016,27,49.14,Noland
115,5/17/2017,30,33.48,Vance
116,4/29/2017,84,13.17,Florinda
117,1/3/2017,97,39.36,Leora
118,7/10/2017,19,8.99,Gilli
119,7/14/2017,47,89.39,Odelle
120,7/19/2017,39,39.68,Erny
121,4/5/2017,28,86.39,Veradis
122,5/19/2017,96,49.38,Kelly
123,2/9/2017,78,92.05,Lesli
124,3/5/2017,34,91.68,Iain
125,3/29/2017,91,2.3,Vita
126,1/5/2017,6,77.12,Pall
127,2/16/2017,39,28.83,Moria
128,11/24/2016,87,29.03,Sandro
129,3/11/2017,80,99.11,Garvey
130,9/9/2016,48,35.88,Genevra
131,4/24/2017,8,40.09,Jolyn
132,12/24/2016,7,83.56,Wilfrid
133,12/28/2016,77,32.11,Giffy
134,7/23/2017,51,47.28,Amberly
135,4/3/2017,66,69.29,Thia
136,4/27/2017,80,18.03,Ronna
137,11/16/2016,70,46.52,Stinky
138,8/20/2017,74,95.04,Dyane
139,10/23/2016,39,67.18,Alli
140,9/30/2016,56,64.45,Luther
141,11/18/2016,18,97.6,Imelda
142,2/1/2017,33,71.69,Shina
143,11/20/2016,40,31.44,Rosa
144,11/19/2016,49,95.29,Deena
145,10/7/2016,18,99.87,Trev
146,10/18/2016,36,31.13,Berton
147,3/16/2017,57,79.77,Gabrila
148,5/29/2017,44,78.67,Donnajean
149,11/25/2016,25,2.09,Sybil
150,3/26/2017,40,87.15,Eden
151,2/16/2017,82,3.9,Noll
152,7/21/2017,85,47.26,Leigh
153,6/14/2017,57,31.44,Hastie
154,1/21/2017,50,69.87,Theresita
155,3/28/2017,7,87.04,Anastassia
156,10/18/2016,63,95.9,Florella
157,2/8/2017,75,89.09,Armstrong
158,3/8/2017,34,14.45,Dareen
159,5/17/2017,54,22.68,Larina
160,6/4/2017,24,85.3,Robinette
161,6/1/2017,43,21.86,Ben
162,4/23/2017,11,46.69,Staffard
163,6/20/2017,47,10.78,Opal
164,11/23/2016,86,80.37,Kial
165,11/15/2016,18,36.91,Kristy
166,12/14/2016,73,56.88,Sabina
167,5/7/2017,67,27.7,Umeko
168,2/16/2017,6,53.73,Krystle
169,3/2/2017,2,33.83,Corri
170,7/22/2017,96,57.7,Aurilia
171,12/5/2016,33,42.67,Hanan
172,4/2/2017,97,27.68,Elle
173,1/17/2017,33,51.78,Willetta
174,2/22/2017,89,26.47,Derrek
175,4/29/2017,84,89.9,Anastassia
176,9/29/2016,48,22.66,Yvonne
177,10/2/2016,34,18.6,Carol-jean
178,11/17/2016,58,43.83,Dulcie
179,10/4/2016,88,67.94,Raine
180,11/21/2016,96,21.68,Gayla
181,10/21/2016,85,15.26,Magda
182,5/26/2017,92,8.57,Tessy
183,7/2/2017,46,83.9,Orin
184,11/25/2016,44,49.19,Derrek
185,6/22/2017,92,56.1,Waiter
186,2/25/2017,54,36.06,Shane
187,10/16/2016,55,15.95,Nappy
188,11/20/2016,95,9.74,Rochell
189,4/16/2017,13,50.06,Mirabella
190,12/12/2016,12,43.57,Malena
191,8/3/2017,48,45.97,Letta
192,1/22/2017,53,14.86,Colline
193,9/21/2016,34,28.43,Denni
194,3/3/2017,80,55.51,Lev
195,1/24/2017,31,61.0,Garnette
196,7/25/2017,49,29.47,Leeann
197,2/9/2017,95,89.04,Kurtis
198,1/22/2017,50,3.75,Laurena
199,12/8/2016,54,1.06,Francklyn
200,7/23/2017,3,62.82,Harlin
201,1/26/2017,78,38.0,Tymon
202,5/21/2017,26,99.79,Rufe
203,1/22/2017,15,94.97,Zena
204,9/8/2016,85,2.4,Page
205,10/16/2016,15,99.5,Nappy
206,10/15/2016,37,71.45,Drusilla
207,3/3/2017,12,37.86,Karyl
208,1/4/2017,14,18.52,Feodora
209,8/19/2017,23,3.61,Blanche
210,8/25/2017,62,53.81,Keriann
211,1/6/2017,60,1.8,Ophelia
212,7/24/2017,54,99.72,Phyllis
213,2/17/2017,88,77.98,Sandy
214,12/16/2016,67,42.74,Kass
215,11/19/2016,4,4.86,Forester
216,10/3/2016,75,27.59,Gothart
217,1/31/2017,35,28.23,Jeanelle
218,6/14/2017,89,94.59,Hyacinthia
219,7/15/2017,40,35.16,Alie
220,8/17/2017,18,79.67,Jelene
221,2/12/2017,3,99.88,Dalenna
222,7/5/2017,74,87.26,Marj
223,11/20/2016,73,43.01,Aggie
224,6/2/2017,79,70.12,Cori
225,10/15/2016,5,52.5,Christa
226,12/2/2016,57,9.15,Ruy
227,1/31/2017,33,12.85,Jorry
228,12/21/2016,64,99.16,Joya
229,7/16/2017,78,59.54,Stavro
230,7/24/2017,75,25.94,Oliver
231,8/19/2017,7,16.95,Barnaby
232,5/11/2017,94,28.65,Cory
233,6/7/2017,6,58.87,Robby
234,9/9/2016,49,6.44,Meyer
235,8/24/2017,20,77.2,Germaine
236,12/24/2016,79,43.42,Lalo
237,1/4/2017,56,89.29,Brigitte
238,9/16/2016,12,82.99,Nikki
239,4/18/2017,76,84.22,Robby
240,11/25/2016,74,73.24,Dinah
241,12/13/2016,100,45.44,Jo
242,10/14/2016,67,55.42,Tomaso
243,6/3/2017,49,21.07,Genni
244,2/15/2017,8,52.26,Tabby
245,12/14/2016,33,97.03,Annnora
246,6/26/2017,78,71.22,Stan
247,7/20/2017,50,50.3,Cully
248,11/28/2016,18,69.54,Rance
249,2/20/2017,39,56.99,Alan
250,7/31/2017,27,50.2,Devland
251,9/21/2016,20,69.26,Britta
252,5/8/2017,16,35.09,Rem
253,3/6/2017,78,11.99,Nikolaos
254,4/12/2017,22,33.63,Shelly
255,1/9/2017,67,25.78,Damon
256,7/25/2017,84,77.57,Charisse
257,10/21/2016,12,90.98,Marita
258,9/13/2016,48,90.56,Kai
259,11/26/2016,89,68.68,Morissa
260,8/2/2017,59,37.57,Joye
261,12/14/2016,71,75.64,Marieann
262,9/8/2016,79,65.82,Corrianne
263,7/6/2017,1,52.27,Haydon
264,10/27/2016,7,48.7,Isabelle
265,11/11/2016,62,4.01,Saw
266,5/25/2017,91,59.04,Persis
267,11/17/2016,40,74.52,Sophia
268,8/19/2017,10,36.99,Lovell
269,8/1/2017,53,44.0,Red
270,1/27/2017,91,54.19,Theressa
271,7/24/2017,82,78.76,Kerwinn
272,3/8/2017,98,43.59,Bettina
273,4/9/2017,64,4.95,Fraze
274,11/6/2016,74,22.73,Luci
275,7/23/2017,91,80.81,Colas
276,2/21/2017,21,84.09,Cully
277,5/24/2017,68,93.03,Brent
278,10/9/2016,59,8.95,Cynthea
279,1/8/2017,63,81.63,Tommie
280,4/25/2017,85,83.54,Mirelle
281,6/23/2017,86,60.48,Verene
282,7/21/2017,60,56.44,Baldwin
283,3/5/2017,20,46.92,Merralee
284,11/24/2016,18,45.01,Marlena
285,12/24/2016,12,97.73,Nicola
286,8/27/2017,9,32.32,Dorian
287,1/18/2017,93,41.58,Maurice
288,3/28/2017,40,40.96,Griselda
289,11/30/2016,81,58.01,Shawnee
290,10/4/2016,25,90.6,Bord
291,6/17/2017,74,94.44,Sigrid
292,2/27/2017,82,17.44,Nelia
293,12/26/2016,29,88.65,Gayel
294,8/4/2017,47,17.44,Dana
295,7/21/2017,90,25.59,Nikolia
296,4/23/2017,81,60.56,Donni
297,11/5/2016,16,63.69,Gran
298,6/30/2017,67,2.18,Sigismundo
299,9/1/2017,65,75.77,Quinlan
300,7/24/2017,23,69.41,Darcy
301,8/30/2017,78,61.46,Jany
302,11/24/2016,50,39.27,Amalee
303,8/15/2017,72,84.29,Daune
304,3/24/2017,45,14.34,Corenda
305,10/8/2016,2,76.29,Duky
306,10/5/2016,51,67.29,Sherwynd
307,3/22/2017,87,5.26,Candi
308,9/6/2016,26,62.99,Letizia
309,12/18/2016,45,54.12,Vivien
310,10/29/2016,59,20.63,Wanids
311,4/24/2017,12,43.15,Franz
312,3/21/2017,88,9.3,Car
313,11/1/2016,63,30.5,Zitella
314,12/6/2016,5,30.06,Jena
315,6/18/2017,6,84.76,Linette
316,5/28/2017,72,66.26,Jayme
317,1/15/2017,90,71.1,Clemmie
318,2/18/2017,32,36.79,Brittan
319,4/26/2017,77,92.5,Margie
320,11/17/2016,86,64.35,Even
321,3/20/2017,13,64.16,Terrye
322,7/18/2017,89,4.75,Stephenie
323,3/30/2017,96,50.75,Daphne
324,12/8/2016,49,74.8,Hallie
325,3/25/2017,97,36.98,Berty
326,3/12/2017,42,69.72,Lita
327,7/11/2017,74,10.36,Hesther
328,3/19/2017,57,98.03,Byram
329,8/27/2017,45,13.43,Maible
330,5/19/2017,6,20.85,Towny
331,4/1/2017,68,39.63,Northrop
332,5/23/2017,48,26.89,Dina
333,3/30/2017,4,16.48,Gertrudis
334,4/28/2017,71,79.77,Courtney
335,2/12/2017,29,92.64,Bertie
336,8/19/2017,30,66.4,Jude
337,4/27/2017,88,99.3,Yovonnda
338,4/11/2017,93,78.35,Towny
339,9/7/2016,25,19.88,Fabien
340,7/31/2017,1,40.86,Staci
341,5/16/2017,4,20.58,Sherwin
342,5/31/2017,73,79.12,Clea
343,2/27/2017,67,77.9,Aundrea
344,8/8/2017,51,48.94,Moss
345,6/20/2017,26,91.95,Saw
346,9/22/2016,42,5.07,Julita
347,6/11/2017,25,3.71,Norah
348,8/14/2017,79,51.43,Ardyce
349,2/28/2017,47,12.82,Georas
350,5/25/2017,12,43.4,Leia
351,1/27/2017,87,86.06,Kara-lynn
352,12/11/2016,87,61.62,Maighdiln
